No,Section,Parameter,Symbol,Nilai,Satuan,Tipe,Keterangan
,A. DATA KOLAM,INPUT DATA KOLAM,,,,SECTION,Ubah nilai INPUT sesuai kondisi kolam aktual.
1,A. DATA KOLAM,Panjang kolam,L_kolam,18,m,INPUT,Default artikel.
2,A. DATA KOLAM,Lebar kolam,W_kolam,3.5,m,INPUT,Default artikel.
3,A. DATA KOLAM,Tinggi air kolam,H_kolam,0.65,m,INPUT,Default artikel.
4,A. DATA KOLAM,Luas permukaan kolam,A_kolam,=E3*E4,m2,CALC,A = L x W.
5,A. DATA KOLAM,Volume air kolam,V_kolam_m3,=E6*E5,m3,CALC,V = A x H.
6,A. DATA KOLAM,Volume air kolam,V_kolam_L,=E7*1000,L,CALC,Konversi m3 ke liter.
,B. WASTE-BIOFLOC,INPUT RASIO DAN DURASI WB,,,,SECTION,Rasio ditulis sebagai desimal. 0.002 = 0.2%.
7,B. WASTE-BIOFLOC,Rasio WB minimum konservatif,R_WB_min,0.002,fraksi/hari,INPUT,Setara 0.2% volume kolam per hari.
8,B. WASTE-BIOFLOC,Rasio WB nominal awal,R_WB_nom,0.004,fraksi/hari,INPUT,Setara 0.4% volume kolam per hari.
9,B. WASTE-BIOFLOC,Rasio WB desain normal,R_WB_design,0.01,fraksi/hari,INPUT,Setara 1.0% volume kolam per hari.
10,B. WASTE-BIOFLOC,Rasio WB high-floc sementara,R_WB_max,0.02,fraksi/hari,INPUT,Setara 2.0% volume kolam per hari.
11,B. WASTE-BIOFLOC,WB minimum konservatif,V_WB_min,=E8*E10,L/hari,CALC,Volume WB 0.2%.
12,B. WASTE-BIOFLOC,WB nominal awal,V_WB_nom,=E8*E11,L/hari,CALC,Volume WB 0.4%.
13,B. WASTE-BIOFLOC,WB desain normal,V_WB_design,=E8*E12,L/hari,CALC,Volume WB 1.0%.
14,B. WASTE-BIOFLOC,WB high-floc sementara,V_WB_max,=E8*E13,L/hari,CALC,Volume WB 2.0%.
15,B. WASTE-BIOFLOC,Durasi operasi batch,t_batch,60,menit/hari,INPUT,Default artikel.
16,B. WASTE-BIOFLOC,Debit WB minimum konservatif,Q_WB_min,=E14/E18,L/menit,CALC,Debit jika batch 60 menit/hari.
17,B. WASTE-BIOFLOC,Debit WB nominal awal,Q_WB_nom,=E15/E18,L/menit,CALC,Debit jika batch 60 menit/hari.
18,B. WASTE-BIOFLOC,Debit WB desain normal,Q_WB_design,=E16/E18,L/menit,CALC,Debit operasi normal.
19,B. WASTE-BIOFLOC,Debit WB high-floc sementara,Q_WB_max,=E17/E18,L/menit,CALC,Debit high-floc sementara.
20,B. WASTE-BIOFLOC,Debit WB high-floc,Q_WB_max_m3s,=E22/1000/60,m3/s,CALC,Untuk cek kecepatan slot baffle.
